rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/all_actual_path_length_mean,reward/distance,rollout/n_episodes,reward/collision,rollout/workspace_violation_rate,rollout/max_steps_rate,reward/smooth_action,rollout/action_norm_mean,train/learning_rate,reward/z_guard,rollout/distance_improvement_mean,rollout/all_expected_path_length_mean,train/actor_loss,reward/shake,reward/time,train/ent_coef_loss,reward/episode,reward/path_curvature,train/ent_coef,rollout/collision_rate,reward/success,rollout/reward_steps,train/critic_loss,reward/workspace,train/n_updates,reward/total,rollout/success_path_efficiency_percent_mean,rollout/success_actual_path_length_mean,rollout/success_expected_path_length_mean
0.94,1439,20486,23.34,1.6153171900000003,249600,29492288,,,,,,,,,0.0003,,,,-10.869050979614258,,,-0.16448606550693512,,,0.06455203145742416,,,,1.5177584886550903,,1052938,,,,
0.97,1439,20486,22.93,11.273430889999997,249650,29493324,,,,,,,,,0.0003,,,,-9.986772537231445,,,0.3964608907699585,,,0.06393057107925415,,,,94.58946228027344,,1052975,,,,
0.96,1439,20486,17.89,4.01233486,249700,29494444,0.6550232480567104,-0.17590074154932192,8835,-0.14154637756143407,0.01595925297113752,0.3427277872099604,-0.031003107243011453,0.5493946093364344,0.0003,-0.004189007270882264,0.11368439488585176,0.1897808529410235,-8.502805709838867,-0.0025925866153103626,0.0,-0.3175916075706482,-0.1438247900775135,-0.000620062115517037,0.06387461721897125,0.05602716468590832,0.0981426191301211,11587015,7.365963935852051,-0.04015702059589981,1053015,-0.4416910738987259,92.87843398651034,0.24803564388633945,0.19136334285647932
0.93,1439,20487,22.45,-1.780244820000001,249750,29495424,,,,,,,,,0.0003,,,,-9.29030704498291,,,-0.3335244059562683,,,0.0637638121843338,,,,11.585189819335938,,1053050,,,,
0.97,1439,20487,24.25,10.89168994,249800,29496656,0.6547741919750422,-0.17590349387749757,8840,-0.1418200044045838,0.01595022624434389,0.3425339366515837,-0.03100127523072021,0.5494532228585898,0.0003,-0.004188677223643594,0.11370725927819662,0.1897893252191492,-9.87338638305664,-0.00259238234828525,0.0,0.5056575536727905,-0.14381345828175668,-0.0006200254752784514,0.06324213743209839,0.056108597285067875,0.0982108276820498,11587928,2.2172045707702637,-0.0401538566687677,1053094,-0.44188234582843994,92.87616547967639,0.24804801129714354,0.1913922450185758
0.98,1439,20488,18.46,10.442036569999997,249850,29497776,,,,,,,,,0.0003,,,,-9.367693901062012,,,-0.5405084490776062,,,0.06284767389297485,,,,2.9134528636932373,,1053134,,,,
0.93,1439,20488,17.74,-5.550707029999999,249900,29499092,,,,,,,,,0.0003,,,,-7.412642478942871,,,0.895965039730072,,,0.062371876090765,,,,203.48809814453125,,1053181,,,,
0.92,1439,20489,17.89,-8.84940856,249950,29500212,0.6545315559373036,-0.17590358071413864,8845,-0.14180708162165034,0.01594120972300735,0.3423403052572075,-0.030999689744997647,0.5495102000836063,0.0003,-0.00418829554711801,0.11374024725426989,0.18979670182112637,-8.285624504089355,-0.0025921461277710277,0.0,0.23155692219734192,-0.14380035385327997,-0.0006199937655607406,0.06243295222520828,0.05607687959299039,0.09829679633693514,11588984,8.939461708068848,-0.04015019780853956,1053221,-0.44176454284607714,92.87523088844907,0.24802629607505716,0.19140329356017635
0.94,1439,20489,22.8,1.8086940100000002,250000,29501136,,,,,,,,,0.0003,,,,-10.892870903015137,,,0.9047079086303711,,,0.06272945553064346,,,,13.081302642822266,,1053254,,,,
0.93,1439,20490,28.21,2.4449748400000004,250050,29502032,0.6542710942538513,-0.17590294324046393,8850,-0.1417968527552628,0.015932203389830507,0.34214689265536724,-0.03099836779018474,0.5495623957670922,0.0003,-0.004187993435861978,0.11376626439118957,0.18980050502639623,-11.042855262756348,-0.0025919591503923613,0.0,-0.1852101981639862,-0.14378998120764602,-0.0006199673264795606,0.06300099194049835,0.056045197740113,0.09838461684478275,11589820,2.83817720413208,-0.04014730168371899,1053286,-0.44165074974518415,92.8849179643882,0.2479737291320984,0.1914082357796446
0.94,1439,20490,24.09,1.4022980800000016,250100,29502872,,,,,,,,,0.0003,,,,-10.826546669006348,,,0.018179088830947876,,,0.06323648989200592,,,,10.398487091064453,,1053316,,,,
0.95,1439,20490,20.72,3.1686063500000006,250150,29503684,0.6540087557028373,-0.17590120132926731,8855,-0.14178595256149515,0.015923207227555053,0.3419536984754376,-0.03099739803994011,0.5496101514479684,0.0003,-0.004187671496841036,0.11378652872312614,0.18979999352970126,-10.63571834564209,-0.0025917646467417225,0.0,0.6477699279785156,-0.1437789277983033,-0.0006199479314905478,0.06324882060289383,0.05601355166572558,0.09847195741486436,11590711,7.531113147735596,-0.040144215484278746,1053345,-0.44153512187345,92.89395771625148,0.24791755937417528,0.1914058142079683
0.94,1439,20491,18.61,0.15215894000000063,250200,29504580,,,,,,,,,0.0003,,,,-9.234550476074219,,,-0.6563094854354858,,,0.06357090175151825,,,,261.7530212402344,,1053377,,,,
0.96,1439,20492,16.18,4.250997769999999,250250,29505560,0.6537147947035497,-0.17589892745898814,8860,-0.14177868669662302,0.015914221218961626,0.3417607223476298,-0.03099677546704955,0.5496451462857724,0.0003,-0.004187456898323516,0.11378021277466255,0.18977149770149443,-9.385871887207031,-0.0025916318309629847,0.0,-0.12967601418495178,-0.14377155980280046,-0.0006199354800363797,0.06329479813575745,0.05598194130925508,0.09856180990837529,11591305,107.49181365966797,-0.04014215828157399,1053412,-0.44142532200793916,92.9457825268119,0.24780706111199136,0.19135566942619664
0.96,1439,20493,17.02,4.16197611,250300,29506596,,,,,,,,,0.0003,,,,-10.666488647460938,,,-0.8745156526565552,,,0.06285451352596283,,,,10.548112869262695,,1053449,,,,
0.97,1439,20493,18.65,7.063732869999999,250350,29507688,0.6534410559551548,-0.17589829903322016,8865,-0.14176832739943368,0.015905245346869712,0.34156796390298927,-0.03099540602240822,0.5496848730377102,0.0003,-0.004187150934772238,0.11378386510242967,0.1897537496811839,-10.86374282836914,-0.0025914424690428833,0.0,-0.27223455905914307,-0.14376105489300003,-0.0006199080911471877,0.06231312081217766,0.05595036661026509,0.09864950011007446,11592152,0.9930135011672974,-0.0401392252275505,1053488,-0.4413113139604569,92.95031385183113,0.2477306850857293,0.19132388922260501
0.96,1439,20494,22.21,5.78749515,250400,29508724,,,,,,,,,0.0003,,,,-11.21632194519043,,,-0.44876715540885925,,,0.0623541958630085,,,,21.470134735107422,,1053525,,,,
0.93,1439,20494,20.6,-3.5452881999999994,250450,29509620,0.6531798096708371,-0.17589479676426398,8870,-0.14175810412294051,0.015896279594137544,0.34137542277339344,-0.030994514228166074,0.5497353698797485,0.0003,-0.004186848988614658,0.11378338368338656,0.18973073215751984,-10.574230194091797,-0.0025912698262432776,0.0,0.14006556570529938,-0.14375068791583326,-0.00061989025528272,0.06215998902916908,0.05591882750845547,0.09873727118496112,11592988,2.2081990242004395,-0.04013633068541087,1053557,-0.4411951716017509,92.94500208880727,0.2476752186712144,0.19128315605591772
0.96,1439,20495,16.16,4.167082849999999,250500,29510852,,,,,,,,,0.0003,,,,-10.097962379455566,,,-0.2920156717300415,,,0.06235150620341301,,,,349.81805419921875,,1053601,,,,
